"Dosis","Fecha inmunización","Personas vacunadas por día","Total de personas vacunadas a la fecha"
"2 dosis","12/02/2021","210","55.779"
"2 dosis","11/02/2021","2.884","55.569"
"2 dosis","10/02/2021","8.341","52.685"
"2 dosis","09/02/2021","19.378","44.344"
"2 dosis","08/02/2021","11.771","24.966"
"2 dosis","07/02/2021","2","13.195"
"2 dosis","06/02/2021","5","13.193"
"2 dosis","05/02/2021","670","13.188"
"2 dosis","04/02/2021","2.108","12.518"
"2 dosis","03/02/2021",".","."
"2 dosis","02/02/2021","6","10.410"
"2 dosis","30/01/2021",".","."
"2 dosis","29/01/2021","5","10.404"
"2 dosis","27/01/2021","34","10.399"
"2 dosis","26/01/2021","595","10.365"
"2 dosis","25/01/2021","1.403","9.770"
"2 dosis","22/01/2021",".","."
"2 dosis","21/01/2021",".","."
"2 dosis","20/01/2021",".","."
"2 dosis","19/01/2021","1","8.367"
"2 dosis","18/01/2021",".","."
"2 dosis","16/01/2021","67","8.366"
"2 dosis","15/01/2021","2.474","8.299"
"2 dosis","14/01/2021","4.796","5.825"
"2 dosis","13/01/2021","1.029","1.029"
"2 dosis","06/01/2021",".","."
"2 dosis","05/01/2021",".","."
"2 dosis","04/01/2021",".","."
"2 dosis","27/12/2020",".","."
"2 dosis","26/12/2020",".","."
"2 dosis","25/12/2020",".","."
"2 dosis","24/12/2020",".","."
"única","26/06/2021","9.859","357.374"
"única","25/06/2021","49.572","347.515"
"única","24/06/2021","63.191","297.943"
"única","23/06/2021","12.389","234.752"
"única","22/06/2021","3.727","222.363"
"única","21/06/2021","101","218.636"
"única","20/06/2021","12","218.535"
"única","19/06/2021","277","218.523"
"única","18/06/2021","2.335","218.246"
"única","17/06/2021","3.026","215.911"
"única","16/06/2021","3.913","212.885"
"única","15/06/2021","3.667","208.972"
"única","14/06/2021","4.191","205.305"
"única","13/06/2021","49","201.114"
"única","12/06/2021","392","201.065"
"única","11/06/2021","4.048","200.673"
"única","10/06/2021","13.115","196.625"
"única","09/06/2021","16.676","183.510"
"única","08/06/2021","20.062","166.834"
"única","07/06/2021","27.446","146.772"
"única","06/06/2021","1.790","119.326"
"única","05/06/2021","9.905","117.536"
"única","04/06/2021","34.308","107.631"
"única","03/06/2021","39.586","73.323"
"única","02/06/2021","23.298","33.737"
"única","01/06/2021","10.367","10.439"
"única","31/05/2021","72","72"
"única","30/05/2021",".","."
"única","29/05/2021",".","."
"única","28/05/2021",".","."
"única","27/05/2021",".","."
"única","26/05/2021",".","."
"única","25/05/2021",".","."
"única","24/05/2021",".","."
"única","23/05/2021",".","."
"única","22/05/2021",".","."
"única","21/05/2021",".","."
"única","20/05/2021",".","."
"única","19/05/2021",".","."
"única","18/05/2021",".","."
"única","17/05/2021",".","."
"única","16/05/2021",".","."
"única","15/05/2021",".","."
"única","14/05/2021",".","."
"única","13/05/2021",".","."
"única","12/05/2021",".","."
"única","11/05/2021",".","."
"única","10/05/2021",".","."
"única","09/05/2021",".","."
"única","08/05/2021",".","."
"única","07/05/2021",".","."
"única","06/05/2021",".","."
"única","05/05/2021",".","."
"única","04/05/2021",".","."
"única","03/05/2021",".","."
"única","02/05/2021",".","."
"única","01/05/2021",".","."
"única","30/04/2021",".","."
"única","29/04/2021",".","."
"única","28/04/2021",".","."
"única","27/04/2021",".","."
"única","26/04/2021",".","."
"única","25/04/2021",".","."
"única","24/04/2021",".","."
"única","23/04/2021",".","."
"única","22/04/2021",".","."
"única","21/04/2021",".","."
"única","20/04/2021",".","."
"única","19/04/2021",".","."
"única","18/04/2021",".","."
"única","17/04/2021",".","."
"única","16/04/2021",".","."
"única","15/04/2021",".","."
"única","14/04/2021",".","."
"única","13/04/2021",".","."
"única","12/04/2021",".","."
"única","11/04/2021",".","."
"única","10/04/2021",".","."
"única","09/04/2021",".","."
"única","08/04/2021",".","."
"única","07/04/2021",".","."
"única","06/04/2021",".","."
"única","05/04/2021",".","."
"única","04/04/2021",".","."
"única","03/04/2021",".","."
"única","02/04/2021",".","."
"única","01/04/2021",".","."
"única","31/03/2021",".","."
"única","30/03/2021",".","."
"única","29/03/2021",".","."
"única","28/03/2021",".","."
"única","27/03/2021",".","."
"única","26/03/2021",".","."
"única","25/03/2021",".","."
"única","24/03/2021",".","."
"única","23/03/2021",".","."
"única","22/03/2021",".","."
"única","21/03/2021",".","."
"única","20/03/2021",".","."
"única","19/03/2021",".","."
"única","18/03/2021",".","."
"única","17/03/2021",".","."
"única","16/03/2021",".","."
"única","15/03/2021",".","."
"única","14/03/2021",".","."
"única","13/03/2021",".","."
"única","12/03/2021",".","."
"única","11/03/2021",".","."
"única","10/03/2021",".","."
"única","09/03/2021",".","."
"única","08/03/2021",".","."
"única","07/03/2021",".","."
"única","06/03/2021",".","."
"única","05/03/2021",".","."
"única","04/03/2021",".","."
"única","03/03/2021",".","."
"única","02/03/2021",".","."
"única","01/03/2021",".","."
"única","28/02/2021",".","."
"única","27/02/2021",".","."
"única","26/02/2021",".","."
"única","25/02/2021",".","."
"única","24/02/2021",".","."
"única","23/02/2021",".","."
"única","22/02/2021",".","."
"única","21/02/2021",".","."
"única","20/02/2021",".","."
"única","19/02/2021",".","."
"única","18/02/2021",".","."
"única","17/02/2021",".","."
"única","16/02/2021",".","."
"única","15/02/2021",".","."
"única","14/02/2021",".","."
"única","13/02/2021",".","."
"única","12/02/2021",".","."
"única","11/02/2021",".","."
"única","10/02/2021",".","."
"única","09/02/2021",".","."
"única","08/02/2021",".","."
"única","07/02/2021",".","."
"única","06/02/2021",".","."
"única","05/02/2021",".","."
"única","04/02/2021",".","."
"única","03/02/2021",".","."
"única","02/02/2021",".","."
"única","30/01/2021",".","."
"única","29/01/2021",".","."
"única","27/01/2021",".","."
"única","26/01/2021",".","."
"única","25/01/2021",".","."
"única","22/01/2021",".","."
"única","21/01/2021",".","."
"única","20/01/2021",".","."
"única","19/01/2021",".","."
"única","18/01/2021",".","."
"única","16/01/2021",".","."
"única","15/01/2021",".","."
"única","14/01/2021",".","."
"única","13/01/2021",".","."
"única","06/01/2021",".","."
"única","05/01/2021",".","."
"única","04/01/2021",".","."
"única","27/12/2020",".","."
"única","26/12/2020",".","."
"única","25/12/2020",".","."
"única","24/12/2020",".","."
